Entreprise,Entreprise_Normalisee,Score_Max,Tier,Commune,Nb_Agents,Agents,Tel_Societe,Email_Societe,Tel_Societe_All,Email_Societe_All,Tel_Agents_IPI,Email_Agents_IPI,Tel_Agents_Existants,Email_Agents_Existants,Site_Web,Google_Business,Google_Note,Google_Nb_Avis,Services,Gestion_Locative,Syndic,Vente,Location,Commercial,Logiciel_Actuel,Immoweb_Annonces_Total,Immoweb_Location,Immoweb_Vente,Portfolio_Estime,BCE_Numero,BCE_Forme_Juridique,BCE_Date_Creation,Pain_Points,Angle_SPIN
ASEC INTERNATIONAL SPRL,ASEC INTERNATIONAL,50,B,Forest,1,Michel Villers,,info@asecint.be,,info@asecint.be,+32475831674,michel.villers@groupe-villers.com,,michel.villers@groupe-villers.com,https://www.asecint.be,https://www.google.com/maps/search/ASEC%20INTERNATIONAL%20SPRL%20Forest,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Fierce Immo,FIERCE IMMO,50,B,Ixelles,1,Florent Gossart,+3224206501,info@fierceimmo.com,+3224206501,info@fierceimmo.com,+3224206501,info@fierceimmo.com,,info@fierceimmo.com,https://www.fierceimmo.com,https://www.google.com/maps/search/Fierce%20Immo%20Ixelles,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
EMILE GARCIN BELGIQUE,EMILE GARCIN BELGIQUE,50,B,Ixelles,1,Stéphanie Dejace,+32493407864,,+32493407864,,,,,locations.bruxelles@emilegarcin.com,https://www.emilegarcin.com,https://www.google.com/maps/search/EMILE%20GARCIN%20BELGIQUE%20Ixelles,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
MY IMMO ALTITUDE - S.E. IMMO,MY IMMO ALTITUDE SE IMMO,50,B,Forest,1,Sébastien Mullenders,+3223449421,altitude@myimmo.be,+3223449421 | +3223562220 | +3226522510 | +3228831300,altitude@myimmo.be | etterbeek@myimmo.be | ixelles@myimmo.be | uccle@myimmo.be | ganshoren@myimmo.be,,,,sebastien@myimmo.be,https://www.myimmo.be,https://www.google.com/maps/search/MY%20IMMO%20ALTITUDE%20-%20S.E.%20IMMO%20Forest,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
MYIMMO Altitude,MYIMMO ALTITUDE,50,B,Forest,1,Julie Schiltz,+3223449421,altitude@myimmo.be,+3223449421 | +3223562220 | +3226522510 | +3228831300,altitude@myimmo.be | etterbeek@myimmo.be | ixelles@myimmo.be | uccle@myimmo.be | ganshoren@myimmo.be,+3223449421,sebastien@myimmo.be,+3223449421,sebastien@myimmo.be,https://www.myimmo.be,https://www.google.com/maps/search/MYIMMO%20Altitude%20Forest,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
MB international Realty,MB INTERNATIONAL REALTY,50,B,Ixelles,1,Myriam Baiga,,webmaster@mblagence.com,,webmaster@mblagence.com,+3223782185,m.baiga@mblagence.com,,m.baiga@mblagence.com,https://www.mblagence.com,https://www.google.com/maps/search/MB%20international%20Realty%20Ixelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
VERMEULEN-IMMOBILIER,VERMEULENIMMOBILIER,50,B,Ixelles,1,Céline Vermeulen,+32485453430,,+32485453430 | +3227842337,,,,,cvrmlen@gmail.com,https://www.vermeulen-immobilier.be,https://www.google.com/maps/search/VERMEULEN-IMMOBILIER%20Ixelles,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
PROGENTIS,PROGENTIS,50,B,Elsene,1,Geoffroy Steyt,+3226434343,info@progentis.be,+3226434343 | +3226434344,info@progentis.be,+3226434343,geoffroy.steyt@progentis.be,,geoffroy.steyt@progentis.be,https://www.progentis.be,https://www.google.com/maps/search/PROGENTIS%20Elsene,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Dream Invest Group,DREAM INVEST GROUP,50,B,Ixelles,1,Poupak Pirouzdjou,+3247581082,contact@dream-invest.eu,+3247581082 | +3247388888,contact@dream-invest.eu | jane@example.com,+32472216833,poupak@dream-invest.eu,+32472216833,poupak@dream-invest.eu,https://dream-invest.eu,https://www.google.com/maps/search/Dream%20Invest%20Group%20Ixelles,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
OWN GROUP,OWN GROUP,50,B,Ixelles,1,James Goffin,+3283226304,info@own-group.com,+3283226304 | +32488187837 | +32488235642 | +32469013383 | +32469272785 | +3239918824,info@own-group.com,+3223446147,james.goffin@own-group.com,,james.goffin@own-group.com,https://www.own-group.com,https://www.google.com/maps/search/OWN%20GROUP%20Ixelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Barnes Brussels (Senrab srl),BARNES BRUSSELS SENRAB,50,B,Ixelles,1,Frédérique Pauporté,+3228801515,,+3228801515,,,,,f.pauporte@barnes-international.com,https://barnes-belgium.com,https://www.google.com/maps/search/Barnes%20Brussels%20(Senrab%20srl)%20Ixelles,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
BARNES,BARNES,50,B,Ixelles,1,Mélissa Israel,+3228801515,,+3228801515,,,,,m.israel@barnes-international.com,https://www.barnes-brussels.com,https://www.google.com/maps/search/BARNES%20Ixelles,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
CDA CONSULTING SRL,CDA CONSULTING,50,B,Forest,1,Clément Dagneaux,+3238938428,utilisateur@domaine.com,+3238938428 | +3249866851,utilisateur@domaine.com | info@inn-trade.com,,,,clement@inn-trade.com,https://www.inn-trade.com,https://www.google.com/maps/search/CDA%20CONSULTING%20SRL%20Forest,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
GC Immo Expertise srl,GC IMMO EXPERTISE,50,B,Ixelles,1,Guido Castermans,,robin_singh@example.com,,robin_singh@example.com,+3225342048,guido.castermans@gcimmo.be,,guido.castermans@gcimmo.be,https://www.gcimmo.be,https://www.google.com/maps/search/GC%20Immo%20Expertise%20srl%20Ixelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
GC Immo Srl,GC IMMO,50,B,Ixelles,1,Gaëtan Collet,,robin_singh@example.com,,robin_singh@example.com,,,,gaetan.collet@gcimmo.be,https://www.gcimmo.be,https://www.google.com/maps/search/GC%20Immo%20Srl%20Ixelles,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Christie's International Real Estate,CHRISTIES INTERNATIONAL REAL ESTATE,50,B,Ixelles,1,Thibaut Ninove,+32466458187,info@christiesrealestatebelgium.be,+32466458187 | +3235949035,info@christiesrealestatebelgium.be,+3228080364,tn@christiesrealestatebelgium.be,,tn@christiesrealestatebelgium.be,https://www.christiesrealestatebelgium.be,https://www.google.com/maps/search/Christie's%20International%20Real%20Estate%20Ixelles,,,Location,Non,Non,Non,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Century21 Souverain,CENTURY21 SOUVERAIN,50,B,Auderghem,1,Din Tahiraj,+32474142086,,+32474142086 | +32456075850 | +3267566284,,+3226742121,dt@century21souverain.be,,dt@century21souverain.be,https://www.century21.be,https://www.google.com/maps/search/Century21%20Souverain%20Auderghem,,,"Location, Commercial",Non,Non,Non,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
MALEXIM,MALEXIM,50,B,Uccle,1,Cécile Maes,+3248925006,expertisemalexim@gmail.com,+3248925006,expertisemalexim@gmail.com,,,,expertisemalexim@gmail.com,https://www.malexim.be,https://www.google.com/maps/search/MALEXIM%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Century 21 Miroir (DGI),CENTURY 21 MIROIR DGI,50,B,Koekelberg,1,David Bonneel,+32474142086,,+32474142086 | +32456075850 | +3267566284,,+3223602121,info@century21miroir.com,,info@century21miroir.com,https://www.century21.be,https://www.google.com/maps/search/Century%2021%20Miroir%20(DGI)%20Koekelberg,,,"Location, Commercial",Non,Non,Non,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Anixton,ANIXTON,50,B,Ixelles,1,Vincent Gérin,+32471191298,chosen-sprite@2x.png,+32471191298 | +3221137998 | +3227219919 | +3248663389,chosen-sprite@2x.png | vincent.gerin@anixton.com | john.doe@example.com | info@anixton.com,,,,vincent.gerin@anixton.com,https://www.anixton.com,https://www.google.com/maps/search/Anixton%20Ixelles,,,"Location, Commercial",Non,Non,Non,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Home Standing,HOME STANDING,50,B,Ixelles,1,Fabrizzio Ruffo de Bonneval de la Fare des Comtes de Sinopoli de Calabre,+3247536733,,+3247536733,,+32475367336,fabrizio@homestanding.be,,fabrizio@homestanding.be,https://www.homestanding.be,https://www.google.com/maps/search/Home%20Standing%20Ixelles,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
RPIA,RPIA,50,B,Elsene,1,Daniel Nejman,+3247824900,,+3247824900 | +32454519036,,+3223311450,dany.nejman@rpia.be,,dany.nejman@rpia.be,https://www.rpia.be,https://www.google.com/maps/search/RPIA%20Elsene,,,Commercial,Non,Non,Non,Non,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immo Fadan,IMMO FADAN,50,B,Uccle,1,Jérémie Arnet,+3223434277,info@immofadan.be,+3223434277,info@immofadan.be,,,,ja@immofadan.be,https://www.immofadan.be,https://www.google.com/maps/search/Immo%20Fadan%20Uccle,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Jean Roberti,JEAN ROBERTI,50,B,Ixelles,1,Jean Roberti,+32453739670,info@roberti.be,+32453739670,info@roberti.be,+32476570187,info@roberti.be,,info@roberti.be,https://www.roberti.be,https://www.google.com/maps/search/Jean%20Roberti%20Ixelles,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
REAL GESTION,REAL GESTION,50,B,Ixelles,1,Philippe Ortegat,+3225053850,info@biv.be,+3225053850,info@biv.be,+3226449878,gestion@ortegat.be,,GESTION@ORTEGAT.BE,https://www.intrust.be,https://www.google.com/maps/search/REAL%20GESTION%20Ixelles,,,"Location, Commercial",Non,Non,Non,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
BRUSSELS AGENCY,BRUSSELS AGENCY,50,B,Ukkel,1,Dan Abensour,+32475247607,,+32475247607,,,da@brusselsagency.be,,da@brusselsagency.be,https://www.brusselsagency.be,https://www.google.com/maps/search/BRUSSELS%20AGENCY%20Ukkel,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
THE GOOD HOME SRL,THE GOOD HOME,50,B,Uccle,1,Romain Liétar,,thegoodagency-homepage@2x-scaled.jpg,,thegoodagency-homepage@2x-scaled.jpg | thegoodagency-homepage@2x-300x195.jpg | thegoodagency-homepage@2x-1024x664.jpg | thegoodagency-homepage@2x-768x498.jpg | thegoodagency-homepage@2x-1536x996.jpg | thegoodagency-homepage@2x-2048x1328.jpg | thegoodagency-homepage-mobile@2x.png | thegoodagency-homepage-mobile@2x-144x300.png | thegoodagency-homepage-mobile@2x-493x1024.png | thegoodagency-homepage-mobile@2x-768x1596.png | thegoodagency-homepage-mobile@2x-739x1536.png | thegoodagency-homepage-mobile@2x-985x2048.png,,,,romain@thegoodagency.eu,https://www.thegoodagency.eu,https://www.google.com/maps/search/THE%20GOOD%20HOME%20SRL%20Uccle,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Patrick Schiemsky,PATRICK SCHIEMSKY,50,B,Uccle,1,Patrick Schiemsky,+3247060211,utilisateur@domaine.com,+3247060211 | +3238938428 | +3261218177,utilisateur@domaine.com | ps@psch.expert | info@psch.expert,+3222672350,ps@psch.expert,,ps@psch.expert,https://www.patrickschiemsky.expert,https://www.google.com/maps/search/Patrick%20Schiemsky%20Uccle,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
CENTURY 21 WOLUWAY - QUALITY,CENTURY 21 WOLUWAY QUALITY,50,B,Woluwe-Saint-Lambert,1,Florence Witters,+32474142086,,+32474142086 | +32456075850 | +3267566284,,+3227332121,jessica@century21woluway.be,,jessica@century21woluway.be,https://www.century21.be,https://www.google.com/maps/search/CENTURY%2021%20WOLUWAY%20-%20QUALITY%20Woluwe-Saint-Lambert,,,"Location, Commercial",Non,Non,Non,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Molineaux Albert,MOLINEAUX ALBERT,50,B,Sint-Agatha-Berchem,1,Jean Molineaux,+3224680454,immo@molineaux.be,+3224680454,immo@molineaux.be,+3224680454,immo@molineaux.be,,immo@molineaux.be,https://www.immomolineaux.be,https://www.google.com/maps/search/Molineaux%20Albert%20Sint-Agatha-Berchem,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immo MOLINEAUX,IMMO MOLINEAUX,50,B,Sint-Agatha-Berchem,1,Karine Loobuyck,+3224680454,immo@molineaux.be,+3224680454,immo@molineaux.be,+3224680454,immo@molineaux.be,,immo@molineaux.be,https://www.immomolineaux.be,https://www.google.com/maps/search/Immo%20MOLINEAUX%20Sint-Agatha-Berchem,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Méditerranée Location,MDITERRANE LOCATION,50,B,Uccle,1,Baudouin de Waroux,+32498167664,,+32498167664 | +32498160209,,+3223741815,info@mediterranee-location.com,,info@mediterranee-location.com,https://www.mediterranee-location.com,https://www.google.com/maps/search/M%C3%A9diterran%C3%A9e%20Location%20Uccle,,,Location,Non,Non,Non,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Century 21 action Schaerbeek,CENTURY 21 ACTION SCHAERBEEK,50,B,Schaerbeek,1,Nordine Al Boukhari,+32474142086,christopher@century21action.be,+32474142086 | +32456075850 | +3267566284,christopher@century21action.be | info@century21action.be | dirk.vandeweuer@century21action.be,+3225122121,vandeweyer-immo@hotmail.com,,vandeweyer-immo@hotmail.com,https://www.century21.be/nl/kantoor/century-21-action/93iBaHQBHQt8ouNflIu7,https://www.google.com/maps/search/Century%2021%20action%20Schaerbeek%20Schaerbeek,,,Location,Non,Non,Non,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
MYIMMO Ganshoren,MYIMMO GANSHOREN,50,B,Ganshoren,1,Adina Mocanu,+3223449421,altitude@myimmo.be,+3223449421 | +3223562220 | +3226522510 | +3228831300,altitude@myimmo.be | etterbeek@myimmo.be | ixelles@myimmo.be | uccle@myimmo.be | ganshoren@myimmo.be,+3228831300,ganshoren@myimmo.be,,ganshoren@myimmo.be,https://www.myimmo.be,https://www.google.com/maps/search/MYIMMO%20Ganshoren%20Ganshoren,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immobilière Bien à Vous,IMMOBILIRE BIEN VOUS,50,B,Woluwe-Saint-Pierre,1,Anne Dekoster,+32471191298,admin@sites-stag.agency,+32471191298 | +3221137998,admin@sites-stag.agency | alexis@immobav.com | anne@immobav.be | anne@immobav.com,+32476255076,anne@immobav.com,,anne@immobav.com,https://www.immobav.com,https://www.google.com/maps/search/Immobili%C3%A8re%20Bien%20%C3%A0%20Vous%20Woluwe-Saint-Pierre,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immobav,IMMOBAV,50,B,Woluwe-Saint-Pierre,1,Alexis Soille,+32471191298,admin@sites-stag.agency,+32471191298 | +3221137998,admin@sites-stag.agency | alexis@immobav.com | anne@immobav.be | anne@immobav.com,+32474590820,alexis@immobav.com,,alexis@immobav.com,https://www.immobav.com,https://www.google.com/maps/search/Immobav%20Woluwe-Saint-Pierre,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Prestige Invest Real Estate,PRESTIGE INVEST REAL ESTATE,50,B,Uccle,1,Gloria Mbeya,+32471191298,welcome@prestigeinvest.be,+32471191298 | +3221137998 | +32485421024 | +3248542300 | +3248542768 | +32485421536 | +3228806160 | +32487340484,welcome@prestigeinvest.be,+3228806160,gloria@prestigeinvest.be,,gloria@prestigeinvest.be,https://www.prestigeinvest.be,https://www.google.com/maps/search/Prestige%20Invest%20Real%20Estate%20Uccle,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
YOU HOME,YOU HOME,50,B,Uccle,1,Bruno Debroux,+3223758747,,+3223758747,,+3223758747,bdebroux@youhome.be,,bdebroux@youhome.be,https://www.youhome.be,https://www.google.com/maps/search/YOU%20HOME%20Uccle,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Real Estate Project,REAL ESTATE PROJECT,50,B,Uccle,1,Véronique Petit,,info@realestateproject.be,,info@realestateproject.be,,,,info@realestateproject.be,https://www.realestateproject.be,https://www.google.com/maps/search/Real%20Estate%20Project%20Uccle,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Vandeput Kimberly - ENGEL & VÖLKERS,VANDEPUT KIMBERLY ENGEL ET VLKERS,50,B,Ukkel,1,Kimberly Vandeput,+3228804021,contact@engelvoelkers.com,+3228804021 | +32489238996 | +3253209466 | +3249136722 | +3283319657,contact@engelvoelkers.com | belgium@engelvoelkers.com | andorra.dpd@engelvoelkers.com | dubai@engelvoelkers.com | chile@engelvoelkers.com | colombia@engelvoelkers.com | spain.dp@engelvoelkers.com | paris@engelvoelkers.com | hungary@engelvoelkers.com | italia@engelvoelkers.com | luxembourg@engelvoelkers.com | lisboa@engelvoelkers.com | uruguay@engelvoelkers.com | southafrica@engelvoelkers.com,+32486856461,kimberly.vandeput@engelvoelkers.com,,kimberly.vandeput@engelvoelkers.com,https://www.engelvoelkers.com/belgium,https://www.google.com/maps/search/Vandeput%20Kimberly%20-%20ENGEL%20%26%20V%C3%96LKERS%20Ukkel,,,"Location, Commercial",Non,Non,Non,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Keystones,KEYSTONES,50,B,Kraainem,2,Marie-Line Haine | Arnaud Van Hove,,,,,+3227916900,marie-line.haine@keystones.be | arnaud.vanhove@keystones.be,,marie-line.haine@keystones.be | arnaud.vanhove@keystones.be,https://www.keystones.be,https://www.google.com/maps/search/Keystones%20Kraainem,,,Commercial,Non,Non,Non,Non,Oui,whise; zimmo,,,,,,,,,whise couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
GREEN KEY,GREEN KEY,50,B,Woluwe-Saint-Lambert,1,Dominique Dagonnier,+3251537905,contact@seobox.io,+3251537905 | +32450430450 | +3237631482,contact@seobox.io | info@greenkey.be,+32496380558,dominique@greenkey.be,,dominique@greenkey.be,https://www.greenkey.be,https://www.google.com/maps/search/GREEN%20KEY%20Woluwe-Saint-Lambert,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Skyline Services,SKYLINE SERVICES,50,B,Oudergem,1,Gilles Sprengers,,info@skylineeurope.eu,,info@skylineeurope.eu,+3226790000,gilles.sprengers@skylineeurope.eu,,gilles.sprengers@skylineeurope.eu,https://www.skylineeurope.eu,https://www.google.com/maps/search/Skyline%20Services%20Oudergem,,,Location,Non,Non,Non,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immopro,IMMOPRO,50,B,Dilbeek,1,Peter Maesenaere,+3225699999,info@immoprodilbeek.be,+3225699999,info@immoprodilbeek.be,+3225699999,info@immoprodilbeek.be,,info@immoprodilbeek.be,https://www.immoprodilbeek.be,https://www.google.com/maps/search/Immopro%20Dilbeek,,,Location,Non,Non,Non,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Key Estate,KEY ESTATE,50,B,Groot-Bijgaarden,1,Dick De Keyzer,+3224200303,info@keyestate.be,+3224200303,info@keyestate.be,+3224200303,dick.dekeyzer@keyestate.be,,dick.dekeyzer@keyestate.be,https://www.keyestate.be,https://www.google.com/maps/search/Key%20Estate%20Groot-Bijgaarden,,,Location,Non,Non,Non,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
CENTURY 21 Best House,CENTURY 21 BEST HOUSE,50,B,Neder-Over-Heembeek,1,Didier Michiels,+32474142086,,+32474142086 | +32456075850 | +3267566284,,+3222682150,didier@century21besthouse.be,,didier@century21besthouse.be,https://www.century21.be,https://www.google.com/maps/search/CENTURY%2021%20Best%20House%20Neder-Over-Heembeek,,,"Location, Commercial",Non,Non,Non,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immo Fox,IMMO FOX,50,B,Watermael-Boitsfort,2,Hervé Thomas | Luna Belfakir,,,,,+3226732022,luna@immofox.be,,info@immofox.be | luna@immofox.be,https://www.immofox.be,https://www.google.com/maps/search/Immo%20Fox%20Watermael-Boitsfort,,,"Vente, Location",Non,Non,Oui,Oui,Non,omnicasa,,,,,,,,,omnicasa couvre-t-il bien votre workflow d'interventions et de suivi locataire ?
J. LE LION,J LE LION,50,B,Watermael-Boitsfort,1,Jacqueline Demey,+3226727111,,+3226727111,,+3226727111,jd@immo-lelion.be,,jd@immo-lelion.be,https://www.immo-lelion.be,https://www.google.com/maps/search/J.%20LE%20LION%20Watermael-Boitsfort,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
IMMOBILIERE LE LION,IMMOBILIERE LE LION,50,B,Watermael-Boitsfort,1,Elliot Jamar,+3226727111,,+3226727111,,+3226727111,jk@immo-lelion.be,,jk@immo-lelion.be,https://www.immo-lelion.be,https://www.google.com/maps/search/IMMOBILIERE%20LE%20LION%20Watermael-Boitsfort,,,"Vente, Location",Non,Non,Oui,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Pierre Tonon Immobilière,PIERRE TONON IMMOBILIRE,50,B,Watermael-Boitsfort,1,Pierre Tonon,+32495892004,pierre.tonon@skynet.be,+32495892004 | +3249589200 | +3222424446,pierre.tonon@skynet.be,+3222424446,pierre.tonon@skynet.be,,pierre.tonon@skynet.be,https://pierretononimmo.be,https://www.google.com/maps/search/Pierre%20Tonon%20Immobili%C3%A8re%20Watermael-Boitsfort,,,Vente,Non,Non,Oui,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
CONSULTINVEST,CONSULTINVEST,50,B,Strombeek-Bever,1,Joris van Bellingen,,info@consultinvest.be,,info@consultinvest.be,+3222661000,jvb@consultinvest.be,+3222661000,jvb@consultinvest.be,https://www.consultinvest.be,https://www.google.com/maps/search/CONSULTINVEST%20Strombeek-Bever,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Immo Clicking,IMMO CLICKING,50,B,Wemmel,1,Ilse Faché,+3226081710,,+3226081710 | +3247323486,,,,,ilse@immoclicking.be,https://www.immoclicking.be,https://www.google.com/maps/search/Immo%20Clicking%20Wemmel,,,Location,Non,Non,Non,Oui,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Vilain XIIII Real Estate,VILAIN XIIII REAL ESTATE,50,B,Relegem,1,Caroline Vilain XIIII,+3249045282,,+3249045282 | +32490452823,,+32490452823,caroline@vilain14-realestate.be,,caroline@vilain14-realestate.be,https://www.vilain14-realestate.be,https://www.google.com/maps/search/Vilain%20XIIII%20Real%20Estate%20Relegem,,,"Vente, Commercial",Non,Non,Oui,Non,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Épure Properties srl,PURE PROPERTIES,50,B,Woluwe-Saint-Pierre,1,Antoinette Boucquey,+3246705278,antoinette.boucquey@epureproperties.com,+3246705278 | +3238938428 | +32450624364,antoinette.boucquey@epureproperties.com | utilisateur@domaine.com,+32467052786,info@epureproperties.com,+32467052786,info@epureproperties.com,https://www.epureproperties.com,https://www.google.com/maps/search/%C3%89pure%20Properties%20srl%20Woluwe-Saint-Pierre,,,"Vente, Location, Commercial",Non,Non,Oui,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
VCM IRIS IMMO - CENTURY 21 HOME CONSULT,VCM IRIS IMMO CENTURY 21 HOME CONSULT,50,B,Haeren,1,Xavier Giunta,+32474142086,,+32474142086 | +32456075850 | +3267566284,,+3222452621,info@century21homeconsult.be,,info@century21homeconsult.be,https://www.century21.be,https://www.google.com/maps/search/VCM%20IRIS%20IMMO%20-%20CENTURY%2021%20HOME%20CONSULT%20Haeren,,,"Location, Commercial",Non,Non,Non,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
Dany Nejman SPRL,DANY NEJMAN,50,B,Uccle,1,Victoria Uyttenhove,+3247824900,,+3247824900 | +32454519036,,+32478249000,dany.nejman@rpia.be,+32478249000,dany.nejman@rpia.be,https://www.rpia.be/,https://www.google.com/maps/search/Dany%20Nejman%20SPRL%20Uccle,,,Commercial,Non,Non,Non,Non,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
bvba VHD Estate,VHD ESTATE,50,B,Wemmel,1,Ilke Van Humbeeck,,jean-emile@vhd-estate.be,,jean-emile@vhd-estate.be | ilke@vhd-estate.be,+3224606501,ilke@vhd-estate.be,,ilke@vhd-estate.be,https://www.vhd-estate.be,https://www.google.com/maps/search/bvba%20VHD%20Estate%20Wemmel,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
We Invest Dilbeek,WE INVEST DILBEEK,50,B,Dilbeek,1,Mathias Ehmann,+32451067032,dilbeek@weinvest.be,+32451067032,dilbeek@weinvest.be | dupont@example.com | info@ipi.be | nils.deblock@weinvest.be | mathias.ehmann@weinvest.be | example@email.com,,dilbeek@weinvest.be,,dilbeek@weinvest.be,https://weinvest.be/agencies/dilbeek/40,https://www.google.com/maps/search/We%20Invest%20Dilbeek%20Dilbeek,,,"Location, Commercial",Non,Non,Non,Oui,Oui,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
evillas,EVILLAS,50,B,Sint-Pieters-Leeuw,1,Bertrand Deschieter,+3223337171,info@evillas.be,+3223337171,info@evillas.be,+3223337171,bertrand_deschieter@hotmail.com,,bertrand_deschieter@hotmail.com,https://www.evillas.be,https://www.google.com/maps/search/evillas%20Sint-Pieters-Leeuw,,,,Non,Non,Non,Non,Non,,,,,,,,,,Comment circule l'information quand un locataire signale un probleme ?
